Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Sport Code,Sport Name,# Participants Men's Team,# Participants Women's Team,# Participants Men Coed Team,# Participants Women Coed Team,Total # Participants Men's Team/Men Coed Team,Total # Participants Women's Team/Women Coed Team,Operating Expenses per Participant/Men's Team,Operating Expenses per Team/Men's Team,Operating Expenses per Participant/Women's Team,Operating Expenses per Team/Women's Team,Total Operating Expenses Men's Team and Women's Team,Operating Expenses per Participant/Men Coed Team,Operating Expenses per Team/Men Coed Team,Operating Expenses per Participant/Women Coed Team,Operating Expenses per Team/Women Coed Team,Total Operating Expenses Men Coed Team/Women Coed Team,Revenues Men's Team,Revenues Women's Team,Total Revenues For Men's Team and Women's Team,Revenues Men Coed Team,Revenues Women Coed Team,Total Revenues Men Coed Team/Women Coed Team,Total Revenues Men's Team and Men Coed Team,Total Revenues Women's Team and Women Coed Team,Total Revenues Men's Team/Women's Team and Coed Team,Expenses Men's Team,Expenses Women's Team,Total Expenses Men's Team and Women's Team,Expenses Men Coed Team,Expenses Women Coed Team,Total Expenses Men Coed Team and Women Coed Team,Total Expenses Men's Team and Men Coed Team,Total Expenses Women's Team and  Women Coed Team,Total Expenses Men's Team/Women's Team and Coed Team
2018,100751,The University of Alabama,AL,1,,1,NCAA,13265,16223,29488,7,Football,133,,,,133,0,86160,11459340,0,0,11459340,,,,,,94604899,,94604899,,,,94604899,0,94604899,69718059,,69718059,,,,69718059,0,69718059
2018,221759,The University of Tennessee-Knoxville,TN,1,,1,NCAA,10485,10948,21433,7,Football,125,,,,125,0,32611,4076379,0,0,4076379,,,,,,91022335,,91022335,,,,91022335,0,91022335,35170599,,35170599,,,,35170599,0,35170599
2018,228778,The University of Texas at Austin,TX,1,,1,NCAA,17313,20581,37894,7,Football,115,,,,115,0,27202,3128272,0,0,3128272,,,,,,156147208,,156147208,,,,156147208,0,156147208,43200270,,43200270,,,,43200270,0,43200270
2018,228796,The University of Texas at El Paso,TX,1,,1,NCAA,6693,7338,14031,7,Football,131,,,,131,0,17088,2238588,0,0,2238588,,,,,,14219107,,14219107,,,,14219107,0,14219107,12101963,,12101963,,,,12101963,0,12101963
2018,229027,The University of Texas at San Antonio,TX,1,,1,NCAA,11010,11373,22383,7,Football,114,,,,114,0,35284,4022397,0,0,4022397,,,,,,11209349,,11209349,,,,11209349,0,11209349,11209349,,11209349,,,,11209349,0,11209349
2018,102368,Troy University,AL,1,,1,NCAA,3542,5584,9126,7,Football,119,,,,119,0,9805,1166824,0,0,1166824,,,,,,8995915,,8995915,,,,8995915,0,8995915,8571387,,8571387,,,,8571387,0,8571387
2018,160755,Tulane University of Louisiana,LA,1,,1,NCAA,2817,4081,6898,7,Football,120,,,,120,0,17238,2068618,0,0,2068618,,,,,,13291710,,13291710,,,,13291710,0,13291710,13291710,,13291710,,,,13291710,0,13291710
2018,196088,University at Buffalo,NY,1,,1,NCAA,11396,8517,19913,7,Football,112,,,,112,0,16652,1865055,0,0,1865055,,,,,,8599068,,8599068,,,,8599068,0,8599068,8599068,,8599068,,,,8599068,0,8599068
2018,200800,University of Akron Main Campus,OH,1,,1,NCAA,6500,5474,11974,7,Football,110,,,,110,0,15887,1747545,0,0,1747545,,,,,,8186577,,8186577,,,,8186577,0,8186577,8186577,,8186577,,,,8186577,0,8186577
2018,100663,University of Alabama at Birmingham,AL,1,,1,NCAA,3954,6035,9989,7,Football,124,,,,124,0,13647,1692284,0,0,1692284,,,,,,11921225,,11921225,,,,11921225,0,11921225,11725395,,11725395,,,,11725395,0,11725395
2018,104179,University of Arizona,AZ,1,,1,NCAA,13684,15289,28973,7,Football,123,,,,123,0,44185,5434740,0,0,5434740,,,,,,43272457,,43272457,,,,43272457,0,43272457,22548661,,22548661,,,,22548661,0,22548661
2018,106397,University of Arkansas,AR,1,,1,NCAA,9697,11233,20930,7,Football,125,,,,125,0,53001,6625162,0,0,6625162,,,,,,76463785,,76463785,,,,76463785,0,76463785,43162670,,43162670,,,,43162670,0,43162670
2018,110635,University of California-Berkeley,CA,1,,1,NCAA,13997,15567,29564,7,Football,120,,,,120,0,60367,7243994,0,0,7243994,,,,,,33532252,,33532252,,,,33532252,0,33532252,27790118,,27790118,,,,27790118,0,27790118
2018,110662,University of California-Los Angeles,CA,1,,1,NCAA,12998,18002,31000,7,Football,116,,,,116,0,69061,8011063,0,0,8011063,,,,,,41288698,,41288698,,,,41288698,0,41288698,35463068,,35463068,,,,35463068,0,35463068
2018,132903,University of Central Florida,FL,1,,1,NCAA,19022,22578,41600,7,Football,139,,,,139,0,38650,5372290,0,0,5372290,,,,,,30248726,,30248726,,,,30248726,0,30248726,24767711,,24767711,,,,24767711,0,24767711
2018,201885,University of Cincinnati-Main Campus,OH,1,,1,NCAA,12060,10792,22852,7,Football,115,,,,115,0,25287,2907970,0,0,2907970,,,,,,14998887,,14998887,,,,14998887,0,14998887,14998887,,14998887,,,,14998887,0,14998887
2018,126614,University of Colorado Boulder,CO,1,,1,NCAA,15325,12616,27941,7,Football,116,,,,116,0,38467,4462153,0,0,4462153,,,,,,43461696,,43461696,,,,43461696,0,43461696,29642881,,29642881,,,,29642881,0,29642881
2018,129020,University of Connecticut,CT,1,,1,NCAA,8998,9399,18397,7,Football,102,,,,102,0,48904,4988192,0,0,4988192,,,,,,16224408,,16224408,,,,16224408,0,16224408,16224408,,16224408,,,,16224408,0,16224408
2018,134130,University of Florida,FL,1,,1,NCAA,13633,18113,31746,7,Football,119,,,,119,0,78482,9339333,0,0,9339333,,,,,,84837920,,84837920,,,,84837920,0,84837920,39149664,,39149664,,,,39149664,0,39149664
2018,139959,University of Georgia,GA,1,,1,NCAA,11922,15919,27841,7,Football,135,,,,135,0,71653,9673104,0,0,9673104,,,,,,123073722,,123073722,,,,123073722,0,123073722,49207808,,49207808,,,,49207808,0,49207808
2018,141574,University of Hawaii at Manoa,HI,1,,1,NCAA,4529,6032,10561,7,Football,120,,,,120,0,25798,3095818,0,0,3095818,,,,,,12737691,,12737691,,,,12737691,0,12737691,12737691,,12737691,,,,12737691,0,12737691
2018,225511,University of Houston,TX,1,,1,NCAA,13749,13933,27682,7,Football,118,,,,118,0,24971,2946529,0,0,2946529,,,,,,18656864,,18656864,,,,18656864,0,18656864,18656864,,18656864,,,,18656864,0,18656864
2018,145637,University of Illinois at Urbana-Champaign,IL,1,,1,NCAA,17413,14941,32354,7,Football,103,,,,103,0,24016,2473630,0,0,2473630,,,,,,58155936,,58155936,,,,58155936,0,58155936,23418953,,23418953,,,,23418953,0,23418953
2018,153658,University of Iowa,IA,1,,1,NCAA,10010,11546,21556,7,Football,124,,,,124,0,39503,4898331,0,0,4898331,,,,,,81037375,,81037375,,,,81037375,0,81037375,36838032,,36838032,,,,36838032,0,36838032
