,Zillow,Econ
253,"Montgomery County, PA","Montgomery County, PA"
254,"Berks County, PA","Berks County, PA"
255,"Luzerne County, PA","Luzerne County, PA"
256,"Pike County, PA","Pike County, PA"
257,"Wayne County, PA","Wayne County, PA"
258,"Wyoming County, PA","Wyoming County, PA"
259,"Susquehanna County, PA","Susquehanna County, PA"
260,"Delaware County, PA","Delaware County, PA"
261,"Philadelphia County, PA","Philadelphia County/city, PA"
262,"Chester County, PA","Chester County, PA"
263,"New Castle County, DE","New Castle County, DE"
264,"Kent County, DE","Kent County, DE"
265,"Sussex County, DE","Sussex County, DE"
266,"District of Columbia, DC",District of Columbia
267,"Loudoun County, VA","Loudoun County, VA"
268,"Culpeper County, VA","Culpeper County, VA"
269,"Prince William County, VA","Prince William County, VA"
270,"Manassas Park City, VA","Manassas Park city, VA"
271,"Fauquier County, VA","Fauquier County, VA"
272,"Fairfax County, VA","Fairfax County, VA"
273,"Clarke County, VA","Clarke County, VA"
274,"Charles County, MD","Charles County, MD"
275,"Saint Marys County, MD","St. Mary's County, MD"
276,"Prince Georges County, MD","Prince George's County, MD"
277,"Calvert County, MD","Calvert County, MD"
278,"Anne Arundel County, MD","Anne Arundel County, MD"
279,"Howard County, MD","Howard County, MD"
280,"Montgomery County, MD","Montgomery County, MD"
281,"Harford County, MD","Harford County, MD"
282,"Baltimore County, MD","Baltimore County, MD"
283,"Carroll County, MD","Carroll County, MD"
284,"Baltimore City, MD","Baltimore city, MD"
285,"Allegany County, MD","Allegany County, MD"
286,"Garrett County, MD","Garrett County, MD"
287,"Talbot County, MD","Talbot County, MD"
288,"Queen Annes County, MD","Queen Anne's County, MD"
289,"Caroline County, MD","Caroline County, MD"
290,"Kent County, MD","Kent County, MD"
291,"Dorchester County, MD","Dorchester County, MD"
292,"Frederick County, MD","Frederick County, MD"
293,"Washington County, MD","Washington County, MD"
294,"Washington County, MO","Washington County, MO"
295,"Wicomico County, MD","Wicomico County, MD"
296,"Worcester County, MD","Worcester County, MD"
297,"Somerset County, MD","Somerset County, MD"
298,"Cecil County, MD","Cecil County, MD"
299,"Arlington County, VA","Arlington County, VA"
300,"Alexandria City, VA","Alexandria city, VA"
301,"Spotsylvania County, VA","Spotsylvania County, VA"
302,"Caroline County, VA","Caroline County, VA"
303,"Northumberland County, VA","Northumberland County, VA"
304,"Orange County, VA","Orange County, VA"
305,"Essex County, VA","Essex County, VA"
306,"Westmoreland County, VA","Westmoreland County, VA"
307,"King George County, VA","King George County, VA"
308,"Richmond County, VA","Richmond County, VA"
309,"Lancaster County, VA","Lancaster County, VA"
310,"Stafford County, VA","Stafford County, VA"
311,"Frederick County, VA","Frederick County, VA"
312,"Warren County, VA","Warren County, VA"
313,"Rappahannock County, VA","Rappahannock County, VA"
314,"Shenandoah County, VA","Shenandoah County, VA"
315,"Page County, VA","Page County, VA"
316,"Madison County, VA","Madison County, VA"
317,"Greene County, VA","Greene County, VA"
318,"Harrisonburg City, VA","Harrisonburg city, VA"
319,"Rockingham County, VA","Rockingham County, VA"
320,"Augusta County, VA","Augusta County, VA"
321,"Albemarle County, VA","Albemarle County, VA"
322,"Nelson County, VA","Nelson County, VA"
323,"Louisa County, VA","Louisa County, VA"
324,"Fluvanna County, VA","Fluvanna County, VA"
325,"Waynesboro City, VA","Waynesboro city, VA"
326,"Amelia County, VA","Amelia County, VA"
327,"Hanover County, VA","Hanover County, VA"
328,"King William County, VA","King William County, VA"
329,"New Kent County, VA","New Kent County, VA"
330,"Mathews County, VA","Mathews County, VA"
331,"Gloucester County, VA","Gloucester County, VA"
332,"Cumberland County, VA","Cumberland County, VA"
333,"Charles City County, VA","Charles City County, VA"
334,"Middlesex County, VA","Middlesex County, VA"
335,"Goochland County, VA","Goochland County, VA"
336,"Henrico County, VA","Henrico County, VA"
337,"King and Queen County, VA","King and Queen County, VA"
338,"Chesterfield County, VA","Chesterfield County, VA"
339,"Powhatan County, VA","Powhatan County, VA"
340,"James City County, VA","James City County, VA"
341,"Richmond City, VA","Richmond city, VA"
342,"Accomack County, VA","Accomack County, VA"
343,"Isle of Wight County, VA","Isle of Wight County, VA"
344,"Northampton County, VA","Northampton County, VA"
345,"Chesapeake City, VA","Chesapeake city, VA"
346,"Suffolk City, VA","Suffolk city, VA"
347,"Virginia Beach City, VA","Virginia Beach city, VA"
348,"Norfolk City, VA","Norfolk city, VA"
