,Zillow,Econ
1243,"Hancock County, OH","Hancock County, OH"
1244,"Ashland County, OH","Ashland County, OH"
1245,"Huron County, OH","Huron County, OH"
1246,"Hamilton County, OH","Hamilton County, OH"
1247,"Preble County, OH","Preble County, OH"
1248,"Butler County, OH","Butler County, OH"
1249,"Warren County, OH","Warren County, OH"
1250,"Brown County, OH","Brown County, OH"
1251,"Clermont County, OH","Clermont County, OH"
1252,"Adams County, OH","Adams County, OH"
1253,"Clinton County, OH","Clinton County, OH"
1254,"Highland County, OH","Highland County, OH"
1255,"Greene County, OH","Greene County, OH"
1256,"Shelby County, OH","Shelby County, OH"
1257,"Darke County, OH","Darke County, OH"
1258,"Montgomery County, OH","Montgomery County, OH"
1259,"Mercer County, OH","Mercer County, OH"
1260,"Miami County, OH","Miami County, OH"
1261,"Gallia County, OH","Gallia County, OH"
1262,"Lawrence County, OH","Lawrence County, OH"
1263,"Jackson County, OH","Jackson County, OH"
1264,"Vinton County, OH","Vinton County, OH"
1265,"Scioto County, OH","Scioto County, OH"
1266,"Washington County, OH","Washington County, OH"
1267,"Meigs County, OH","Meigs County, OH"
1268,"Allen County, OH","Allen County, OH"
1269,"Paulding County, OH","Paulding County, OH"
1270,"Putnam County, OH","Putnam County, OH"
1271,"Van Wert County, OH","Van Wert County, OH"
1272,"Madison County, IN","Madison County, IN"
1273,"Hamilton County, IN","Hamilton County, IN"
1274,"Clinton County, IN","Clinton County, IN"
1275,"Tipton County, IN","Tipton County, IN"
1276,"Boone County, IN","Boone County, IN"
1277,"Hancock County, IN","Hancock County, IN"
1278,"Hendricks County, IN","Hendricks County, IN"
1279,"Rush County, IN","Rush County, IN"
1280,"Putnam County, IN","Putnam County, IN"
1281,"Johnson County, IN","Johnson County, IN"
1282,"Marion County, IN","Marion County, IN"
1283,"Shelby County, IN","Shelby County, IN"
1284,"Morgan County, IN","Morgan County, IN"
1285,"Henry County, IN","Henry County, IN"
1286,"Brown County, IN","Brown County, IN"
1287,"Porter County, IN","Porter County, IN"
1288,"Lake County, IN","Lake County, IN"
1289,"Jasper County, IN","Jasper County, IN"
1290,"La Porte County, IN","LaPorte County, IN"
1291,"Newton County, IN","Newton County, IN"
1292,"Starke County, IN","Starke County, IN"
1293,"Marshall County, IN","Marshall County, IN"
1294,"Kosciusko County, IN","Kosciusko County, IN"
1295,"Elkhart County, IN","Elkhart County, IN"
1296,"Saint Joseph County, IN","St. Joseph County, IN"
1297,"Lagrange County, IN","LaGrange County, IN"
1298,"Noble County, IN","Noble County, IN"
1299,"Huntington County, IN","Huntington County, IN"
1300,"Steuben County, IN","Steuben County, IN"
1301,"Allen County, IN","Allen County, IN"
1302,"De Kalb County, IN","DeKalb County, IN"
1303,"Adams County, IN","Adams County, IN"
1304,"Wells County, IN","Wells County, IN"
1305,"Whitley County, IN","Whitley County, IN"
1306,"Howard County, IN","Howard County, IN"
1307,"Fulton County, IN","Fulton County, IN"
1308,"Miami County, IN","Miami County, IN"
1309,"Carroll County, IN","Carroll County, IN"
1310,"Grant County, IN","Grant County, IN"
1311,"Cass County, IN","Cass County, IN"
1312,"Wabash County, IN","Wabash County, IN"
1313,"Pulaski County, IN","Pulaski County, IN"
1314,"Dearborn County, IN","Dearborn County, IN"
1315,"Union County, IN","Union County, IN"
1316,"Ripley County, IN","Ripley County, IN"
1317,"Franklin County, IN","Franklin County, IN"
1318,"Switzerland County, IN","Switzerland County, IN"
1319,"Ohio County, IN","Ohio County, IN"
1320,"Scott County, IN","Scott County, IN"
1321,"Clark County, IN","Clark County, IN"
1322,"Floyd County, IN","Floyd County, IN"
1323,"Washington County, IN","Washington County, IN"
1324,"Harrison County, IN","Harrison County, IN"
1325,"Crawford County, IN","Crawford County, IN"
1326,"Bartholomew County, IN","Bartholomew County, IN"
1327,"Jackson County, IN","Jackson County, IN"
1328,"Jennings County, IN","Jennings County, IN"
1329,"Jefferson County, IN","Jefferson County, IN"
1330,"Decatur County, IN","Decatur County, IN"
1331,"Delaware County, IN","Delaware County, IN"
1332,"Wayne County, IN","Wayne County, IN"
1333,"Jay County, IN","Jay County, IN"
1334,"Fayette County, IN","Fayette County, IN"
1335,"Randolph County, IN","Randolph County, IN"
1336,"Blackford County, IN","Blackford County, IN"
1337,"Monroe County, IN","Monroe County, IN"
1338,"Lawrence County, IN","Lawrence County, IN"
1339,"Greene County, IN","Greene County, IN"
1340,"Owen County, IN","Owen County, IN"
1341,"Orange County, IN","Orange County, IN"
1342,"Daviess County, IN","Daviess County, IN"
1343,"Knox County, IN","Knox County, IN"
1344,"Dubois County, IN","Dubois County, IN"
1345,"Perry County, IN","Perry County, IN"
1346,"Spencer County, IN","Spencer County, IN"
1347,"Martin County, IN","Martin County, IN"
1348,"Pike County, IN","Pike County, IN"
1349,"Warrick County, IN","Warrick County, IN"
1350,"Posey County, IN","Posey County, IN"
1351,"Gibson County, IN","Gibson County, IN"
1352,"Vanderburgh County, IN","Vanderburgh County, IN"
1353,"Vigo County, IN","Vigo County, IN"
1354,"Parke County, IN","Parke County, IN"
1355,"Clay County, IN","Clay County, IN"
1356,"Sullivan County, IN","Sullivan County, IN"
1357,"Vermillion County, IN","Vermillion County, IN"
1358,"Tippecanoe County, IN","Tippecanoe County, IN"
1359,"Montgomery County, IN","Montgomery County, IN"
1360,"Benton County, IN","Benton County, IN"
1361,"Fountain County, IN","Fountain County, IN"
1362,"White County, IN","White County, IN"
1363,"Warren County, IN","Warren County, IN"
1364,"Saint Clair County, MI","St. Clair County, MI"
1365,"Lapeer County, MI","Lapeer County, MI"
1366,"Macomb County, MI","Macomb County, MI"
1367,"Oakland County, MI","Oakland County, MI"
1368,"Wayne County, MI","Wayne County, MI"
1369,"Washtenaw County, MI","Washtenaw County, MI"
1370,"Livingston County, MI","Livingston County, MI"
1371,"Monroe County, MI","Monroe County, MI"
1372,"Sanilac County, MI","Sanilac County, MI"
1373,"Genesee County, MI","Genesee County, MI"
1374,"Huron County, MI","Huron County, MI"
1375,"Shiawassee County, MI","Shiawassee County, MI"
1376,"Saginaw County, MI","Saginaw County, MI"
1377,"Arenac County, MI","Arenac County, MI"
1378,"Bay County, MI","Bay County, MI"
1379,"Gladwin County, MI","Gladwin County, MI"
1380,"Gratiot County, MI","Gratiot County, MI"
1381,"Clare County, MI","Clare County, MI"
1382,"Midland County, MI","Midland County, MI"
1383,"Oscoda County, MI","Oscoda County, MI"
1384,"Roscommon County, MI","Roscommon County, MI"
1385,"Ogemaw County, MI","Ogemaw County, MI"
1386,"Tuscola County, MI","Tuscola County, MI"
1387,"Alcona County, MI","Alcona County, MI"
1388,"Iosco County, MI","Iosco County, MI"
1389,"Clinton County, MI","Clinton County, MI"
1390,"Ionia County, MI","Ionia County, MI"
1391,"Montcalm County, MI","Montcalm County, MI"
1392,"Eaton County, MI","Eaton County, MI"
1393,"Ingham County, MI","Ingham County, MI"
1394,"Isabella County, MI","Isabella County, MI"
1395,"Barry County, MI","Barry County, MI"
1396,"Kalamazoo County, MI","Kalamazoo County, MI"
1397,"Allegan County, MI","Allegan County, MI"
1398,"Calhoun County, MI","Calhoun County, MI"
1399,"Van Buren County, MI","Van Buren County, MI"
1400,"Berrien County, MI","Berrien County, MI"
1401,"Branch County, MI","Branch County, MI"
1402,"Saint Joseph County, MI","St. Joseph County, MI"
1403,"Cass County, MI","Cass County, MI"
1404,"Jackson County, MI","Jackson County, MI"
1405,"Lenawee County, MI","Lenawee County, MI"
1406,"Hillsdale County, MI","Hillsdale County, MI"
1407,"Kent County, MI","Kent County, MI"
1408,"Muskegon County, MI","Muskegon County, MI"
1409,"Lake County, MI","Lake County, MI"
1410,"Mecosta County, MI","Mecosta County, MI"
1411,"Newaygo County, MI","Newaygo County, MI"
1412,"Ottawa County, MI","Ottawa County, MI"
1413,"Mason County, MI","Mason County, MI"
1414,"Oceana County, MI","Oceana County, MI"
1415,"Wexford County, MI","Wexford County, MI"
1416,"Antrim County, MI","Antrim County, MI"
1417,"Manistee County, MI","Manistee County, MI"
1418,"Benzie County, MI","Benzie County, MI"
1419,"Leelanau County, MI","Leelanau County, MI"
1420,"Osceola County, MI","Osceola County, MI"
1421,"Missaukee County, MI","Missaukee County, MI"
1422,"Kalkaska County, MI","Kalkaska County, MI"
1423,"Grand Traverse County, MI","Grand Traverse County, MI"
1424,"Emmet County, MI","Emmet County, MI"
1425,"Cheboygan County, MI","Cheboygan County, MI"
1426,"Alpena County, MI","Alpena County, MI"
1427,"Montmorency County, MI","Montmorency County, MI"
1428,"Chippewa County, MI","Chippewa County, MI"
1429,"Charlevoix County, MI","Charlevoix County, MI"
1430,"Mackinac County, MI","Mackinac County, MI"
1431,"Otsego County, MI","Otsego County, MI"
1432,"Presque Isle County, MI","Presque Isle County, MI"
1433,"Dickinson County, MI","Dickinson County, MI"
1434,"Keweenaw County, MI","Keweenaw County, MI"
1435,"Alger County, MI","Alger County, MI"
1436,"Delta County, MI","Delta County, MI"
1437,"Marquette County, MI","Marquette County, MI"
1438,"Menominee County, MI","Menominee County, MI"
1439,"Schoolcraft County, MI","Schoolcraft County, MI"
1440,"Luce County, MI","Luce County, MI"
1441,"Baraga County, MI","Baraga County, MI"
1442,"Iron County, MI","Iron County, MI"
1443,"Houghton County, MI","Houghton County, MI"
1444,"Gogebic County, MI","Gogebic County, MI"
1445,"Ontonagon County, MI","Ontonagon County, MI"
1446,"Warren County, IA","Warren County, IA"
1447,"Adair County, IA","Adair County, IA"
1448,"Dallas County, IA","Dallas County, IA"
1449,"Marshall County, IA","Marshall County, IA"
1450,"Hardin County, IA","Hardin County, IA"
1451,"Polk County, IA","Polk County, IA"
1452,"Wayne County, IA","Wayne County, IA"
1453,"Story County, IA","Story County, IA"
1454,"Cass County, IA","Cass County, IA"
1455,"Audubon County, IA","Audubon County, IA"
1456,"Guthrie County, IA","Guthrie County, IA"
1457,"Mahaska County, IA","Mahaska County, IA"
1458,"Jasper County, IA","Jasper County, IA"
1459,"Boone County, IA","Boone County, IA"
1460,"Madison County, IA","Madison County, IA"
1461,"Hamilton County, IA","Hamilton County, IA"
1462,"Franklin County, IA","Franklin County, IA"
1463,"Marion County, IA","Marion County, IA"
1464,"Lucas County, IA","Lucas County, IA"
1465,"Greene County, IA","Greene County, IA"
1466,"Carroll County, IA","Carroll County, IA"
1467,"Decatur County, IA","Decatur County, IA"
1468,"Wright County, IA","Wright County, IA"
1469,"Ringgold County, IA","Ringgold County, IA"
1470,"Poweshiek County, IA","Poweshiek County, IA"
1471,"Union County, IA","Union County, IA"
1472,"Monroe County, IA","Monroe County, IA"
1473,"Tama County, IA","Tama County, IA"
1474,"Clarke County, IA","Clarke County, IA"
1475,"Cerro Gordo County, IA","Cerro Gordo County, IA"
1476,"Hancock County, IA","Hancock County, IA"
1477,"Winnebago County, IA","Winnebago County, IA"
1478,"Mitchell County, IA","Mitchell County, IA"
1479,"Worth County, IA","Worth County, IA"
1480,"Floyd County, IA","Floyd County, IA"
1481,"Kossuth County, IA","Kossuth County, IA"
1482,"Webster County, IA","Webster County, IA"
1483,"Buena Vista County, IA","Buena Vista County, IA"
1484,"Emmet County, IA","Emmet County, IA"
1485,"Palo Alto County, IA","Palo Alto County, IA"
1486,"Humboldt County, IA","Humboldt County, IA"
1487,"Sac County, IA","Sac County, IA"
1488,"Calhoun County, IA","Calhoun County, IA"
1489,"Pocahontas County, IA","Pocahontas County, IA"
1490,"Butler County, IA","Butler County, IA"
1491,"Chickasaw County, IA","Chickasaw County, IA"
1492,"Fayette County, IA","Fayette County, IA"
1493,"Grundy County, IA","Grundy County, IA"
1494,"Black Hawk County, IA","Black Hawk County, IA"
1495,"Bremer County, IA","Bremer County, IA"
1496,"Howard County, IA","Howard County, IA"
1497,"Delaware County, IA","Delaware County, IA"
1498,"Taylor County, IA","Taylor County, IA"
1499,"Adams County, IA","Adams County, IA"
1500,"Montgomery County, IA","Montgomery County, IA"
1501,"Plymouth County, IA","Plymouth County, IA"
1502,"Sioux County, IA","Sioux County, IA"
1503,"Woodbury County, IA","Woodbury County, IA"
1504,"Cherokee County, IA","Cherokee County, IA"
1505,"Ida County, IA","Ida County, IA"
1506,"O Brien County, IA","O'Brien County, IA"
1507,"Monona County, IA","Monona County, IA"
1508,"Clay County, IA","Clay County, IA"
1509,"Lyon County, IA","Lyon County, IA"
1510,"Osceola County, IA","Osceola County, IA"
1511,"Dickinson County, IA","Dickinson County, IA"
1512,"Crawford County, IA","Crawford County, IA"
1513,"Shelby County, IA","Shelby County, IA"
1514,"Pottawattamie County, IA","Pottawattamie County, IA"
1515,"Harrison County, IA","Harrison County, IA"
1516,"Mills County, IA","Mills County, IA"
1517,"Page County, IA","Page County, IA"
1518,"Fremont County, IA","Fremont County, IA"
1519,"Dubuque County, IA","Dubuque County, IA"
1520,"Jackson County, IA","Jackson County, IA"
1521,"Clinton County, IA","Clinton County, IA"
1522,"Clayton County, IA","Clayton County, IA"
1523,"Winneshiek County, IA","Winneshiek County, IA"
1524,"Allamakee County, IA","Allamakee County, IA"
1525,"Washington County, IA","Washington County, IA"
1526,"Linn County, IA","Linn County, IA"
1527,"Iowa County, IA","Iowa County, IA"
1528,"Jones County, IA","Jones County, IA"
1529,"Benton County, IA","Benton County, IA"
1530,"Cedar County, IA","Cedar County, IA"
1531,"Johnson County, IA","Johnson County, IA"
1532,"Wapello County, IA","Wapello County, IA"
1533,"Jefferson County, IA","Jefferson County, IA"
1534,"Van Buren County, IA","Van Buren County, IA"
1535,"Davis County, IA","Davis County, IA"
1536,"Appanoose County, IA","Appanoose County, IA"
1537,"Des Moines County, IA","Des Moines County, IA"
1538,"Lee County, IA","Lee County, IA"
1539,"Henry County, IA","Henry County, IA"
1540,"Louisa County, IA","Louisa County, IA"
1541,"Muscatine County, IA","Muscatine County, IA"
1542,"Scott County, IA","Scott County, IA"
1543,"Sheboygan County, WI","Sheboygan County, WI"
1544,"Washington County, WI","Washington County, WI"
1545,"Dodge County, WI","Dodge County, WI"
1546,"Ozaukee County, WI","Ozaukee County, WI"
1547,"Waukesha County, WI","Waukesha County, WI"
1548,"Fond du Lac County, WI","Fond du Lac County, WI"
1549,"Calumet County, WI","Calumet County, WI"
1550,"Manitowoc County, WI","Manitowoc County, WI"
1551,"Jefferson County, WI","Jefferson County, WI"
1552,"Kenosha County, WI","Kenosha County, WI"
1553,"Racine County, WI","Racine County, WI"
1554,"Milwaukee County, WI","Milwaukee County, WI"
1555,"Walworth County, WI","Walworth County, WI"
1556,"Rock County, WI","Rock County, WI"
1557,"Green County, WI","Green County, WI"
1558,"Iowa County, WI","Iowa County, WI"
1559,"Lafayette County, WI","Lafayette County, WI"
1560,"Dane County, WI","Dane County, WI"
1561,"Richland County, WI","Richland County, WI"
1562,"Grant County, WI","Grant County, WI"
1563,"Columbia County, WI","Columbia County, WI"
1564,"Sauk County, WI","Sauk County, WI"
1565,"Crawford County, WI","Crawford County, WI"
1566,"Adams County, WI","Adams County, WI"
1567,"Marquette County, WI","Marquette County, WI"
1568,"Green Lake County, WI","Green Lake County, WI"
1569,"Juneau County, WI","Juneau County, WI"
1570,"Polk County, WI","Polk County, WI"
1571,"Saint Croix County, WI","St. Croix County, WI"
1572,"Pierce County, WI","Pierce County, WI"
1573,"Oconto County, WI","Oconto County, WI"
1574,"Marinette County, WI","Marinette County, WI"
1575,"Forest County, WI","Forest County, WI"
1576,"Outagamie County, WI","Outagamie County, WI"
1577,"Shawano County, WI","Shawano County, WI"
1578,"Brown County, WI","Brown County, WI"
1579,"Florence County, WI","Florence County, WI"
1580,"Kewaunee County, WI","Kewaunee County, WI"
1581,"Door County, WI","Door County, WI"
1582,"Marathon County, WI","Marathon County, WI"
1583,"Clark County, WI","Clark County, WI"
1584,"Portage County, WI","Portage County, WI"
1585,"Langlade County, WI","Langlade County, WI"
1586,"Wood County, WI","Wood County, WI"
1587,"Taylor County, WI","Taylor County, WI"
1588,"Lincoln County, WI","Lincoln County, WI"
1589,"Price County, WI","Price County, WI"
1590,"Oneida County, WI","Oneida County, WI"
1591,"Vilas County, WI","Vilas County, WI"
1592,"Ashland County, WI","Ashland County, WI"
1593,"Iron County, WI","Iron County, WI"
1594,"Rusk County, WI","Rusk County, WI"
1595,"La Crosse County, WI","La Crosse County, WI"
1596,"Buffalo County, WI","Buffalo County, WI"
1597,"Jackson County, WI","Jackson County, WI"
1598,"Trempealeau County, WI","Trempealeau County, WI"
1599,"Monroe County, WI","Monroe County, WI"
1600,"Vernon County, WI","Vernon County, WI"
1601,"Eau Claire County, WI","Eau Claire County, WI"
1602,"Pepin County, WI","Pepin County, WI"
1603,"Chippewa County, WI","Chippewa County, WI"
1604,"Dunn County, WI","Dunn County, WI"
1605,"Barron County, WI","Barron County, WI"
1606,"Washburn County, WI","Washburn County, WI"
1607,"Bayfield County, WI","Bayfield County, WI"
1608,"Douglas County, WI","Douglas County, WI"
1609,"Sawyer County, WI","Sawyer County, WI"
1610,"Burnett County, WI","Burnett County, WI"
1611,"Winnebago County, WI","Winnebago County, WI"
1612,"Waupaca County, WI","Waupaca County, WI"
1613,"Waushara County, WI","Waushara County, WI"
1614,"Washington County, MN","Washington County, MN"
1615,"Anoka County, MN","Anoka County, MN"
1616,"Isanti County, MN","Isanti County, MN"
1617,"Pine County, MN","Pine County, MN"
1618,"Goodhue County, MN","Goodhue County, MN"
1619,"Chisago County, MN","Chisago County, MN"
1620,"Rice County, MN","Rice County, MN"
1621,"Scott County, MN","Scott County, MN"
1622,"Dakota County, MN","Dakota County, MN"
1623,"Wabasha County, MN","Wabasha County, MN"
1624,"Steele County, MN","Steele County, MN"
1625,"Kanabec County, MN","Kanabec County, MN"
1626,"Ramsey County, MN","Ramsey County, MN"
1627,"Wright County, MN","Wright County, MN"
1628,"Hennepin County, MN","Hennepin County, MN"
1629,"Sibley County, MN","Sibley County, MN"
1630,"Sherburne County, MN","Sherburne County, MN"
1631,"Renville County, MN","Renville County, MN"
1632,"McLeod County, MN","McLeod County, MN"
1633,"Carver County, MN","Carver County, MN"
1634,"Meeker County, MN","Meeker County, MN"
1635,"Stearns County, MN","Stearns County, MN"
1636,"Mille Lacs County, MN","Mille Lacs County, MN"
1637,"Lake County, MN","Lake County, MN"
1638,"Saint Louis County, MN","St. Louis County, MN"
1639,"Cook County, MN","Cook County, MN"
1640,"Carlton County, MN","Carlton County, MN"
1641,"Itasca County, MN","Itasca County, MN"
1642,"Aitkin County, MN","Aitkin County, MN"
1643,"Olmsted County, MN","Olmsted County, MN"
1644,"Mower County, MN","Mower County, MN"
1645,"Winona County, MN","Winona County, MN"
1646,"Houston County, MN","Houston County, MN"
1647,"Fillmore County, MN","Fillmore County, MN"
1648,"Dodge County, MN","Dodge County, MN"
1649,"Blue Earth County, MN","Blue Earth County, MN"
1650,"Nicollet County, MN","Nicollet County, MN"
1651,"Freeborn County, MN","Freeborn County, MN"
1652,"Faribault County, MN","Faribault County, MN"
1653,"Le Sueur County, MN","Le Sueur County, MN"
1654,"Brown County, MN","Brown County, MN"
1655,"Watonwan County, MN","Watonwan County, MN"
1656,"Martin County, MN","Martin County, MN"
1657,"Waseca County, MN","Waseca County, MN"
1658,"Redwood County, MN","Redwood County, MN"
1659,"Cottonwood County, MN","Cottonwood County, MN"
1660,"Nobles County, MN","Nobles County, MN"
1661,"Jackson County, MN","Jackson County, MN"
1662,"Lincoln County, MN","Lincoln County, MN"
1663,"Murray County, MN","Murray County, MN"
1664,"Lyon County, MN","Lyon County, MN"
1665,"Rock County, MN","Rock County, MN"
1666,"Pipestone County, MN","Pipestone County, MN"
1667,"Kandiyohi County, MN","Kandiyohi County, MN"
1668,"Stevens County, MN","Stevens County, MN"
1669,"Swift County, MN","Swift County, MN"
1670,"Big Stone County, MN","Big Stone County, MN"
1671,"Lac Qui Parle County, MN","Lac qui Parle County, MN"
1672,"Traverse County, MN","Traverse County, MN"
1673,"Yellow Medicine County, MN","Yellow Medicine County, MN"
1674,"Chippewa County, MN","Chippewa County, MN"
1675,"Grant County, MN","Grant County, MN"
1676,"Douglas County, MN","Douglas County, MN"
1677,"Morrison County, MN","Morrison County, MN"
1678,"Todd County, MN","Todd County, MN"
1679,"Pope County, MN","Pope County, MN"
1680,"Otter Tail County, MN","Otter Tail County, MN"
1681,"Benton County, MN","Benton County, MN"
1682,"Crow Wing County, MN","Crow Wing County, MN"
1683,"Hubbard County, MN","Hubbard County, MN"
1684,"Wadena County, MN","Wadena County, MN"
1685,"Cass County, MN","Cass County, MN"
1686,"Becker County, MN","Becker County, MN"
1687,"Norman County, MN","Norman County, MN"
1688,"Clay County, MN","Clay County, MN"
1689,"Polk County, MN","Polk County, MN"
1690,"Wilkin County, MN","Wilkin County, MN"
1691,"Mahnomen County, MN","Mahnomen County, MN"
1692,"Beltrami County, MN","Beltrami County, MN"
1693,"Clearwater County, MN","Clearwater County, MN"
1694,"Lake of the Woods County, MN","Lake of the Woods County, MN"
1695,"Koochiching County, MN","Koochiching County, MN"
1696,"Roseau County, MN","Roseau County, MN"
1697,"Pennington County, MN","Pennington County, MN"
1698,"Marshall County, MN","Marshall County, MN"
1699,"Red Lake County, MN","Red Lake County, MN"
1700,"Kittson County, MN","Kittson County, MN"
1701,"Union County, SD","Union County, SD"
1702,"Brookings County, SD","Brookings County, SD"
1703,"Minnehaha County, SD","Minnehaha County, SD"
1704,"Clay County, SD","Clay County, SD"
1705,"McCook County, SD","McCook County, SD"
1706,"Lincoln County, SD","Lincoln County, SD"
1707,"Turner County, SD","Turner County, SD"
1708,"Lake County, SD","Lake County, SD"
1709,"Moody County, SD","Moody County, SD"
1710,"Hutchinson County, SD","Hutchinson County, SD"
1711,"Yankton County, SD","Yankton County, SD"
1712,"Kingsbury County, SD","Kingsbury County, SD"
1713,"Bon Homme County, SD","Bon Homme County, SD"
1714,"Codington County, SD","Codington County, SD"
1715,"Deuel County, SD","Deuel County, SD"
1716,"Grant County, SD","Grant County, SD"
1717,"Day County, SD","Day County, SD"
1718,"Hamlin County, SD","Hamlin County, SD"
1719,"Roberts County, SD","Roberts County, SD"
1720,"Davison County, SD","Davison County, SD"
1721,"Miner County, SD","Miner County, SD"
1722,"Beadle County, SD","Beadle County, SD"
1723,"Hanson County, SD","Hanson County, SD"
1724,"Charles Mix County, SD","Charles Mix County, SD"
1725,"Sanborn County, SD","Sanborn County, SD"
1726,"Brule County, SD","Brule County, SD"
1727,"Brown County, SD","Brown County, SD"
1728,"Spink County, SD","Spink County, SD"
1729,"Edmunds County, SD","Edmunds County, SD"
1730,"Hughes County, SD","Hughes County, SD"
1731,"Stanley County, SD","Stanley County, SD"
1732,"Lyman County, SD","Lyman County, SD"
1733,"Meade County, SD","Meade County, SD"
1734,"Pennington County, SD","Pennington County, SD"
1735,"Butte County, SD","Butte County, SD"
1736,"Custer County, SD","Custer County, SD"
1737,"Lawrence County, SD","Lawrence County, SD"
1738,"Fall River County, SD","Fall River County, SD"
1739,"Richland County, ND","Richland County, ND"
1740,"Cass County, ND","Cass County, ND"
1741,"Traill County, ND","Traill County, ND"
1742,"Ransom County, ND","Ransom County, ND"
1743,"Barnes County, ND","Barnes County, ND"
1744,"Steele County, ND","Steele County, ND"
1745,"Grand Forks County, ND","Grand Forks County, ND"
1746,"Walsh County, ND","Walsh County, ND"
1747,"Pembina County, ND","Pembina County, ND"
1748,"Ramsey County, ND","Ramsey County, ND"
1749,"Rolette County, ND","Rolette County, ND"
1750,"Benson County, ND","Benson County, ND"
1751,"Stutsman County, ND","Stutsman County, ND"
1752,"Foster County, ND","Foster County, ND"
1753,"Lamoure County, ND","LaMoure County, ND"
1754,"Burleigh County, ND","Burleigh County, ND"
1755,"Mercer County, ND","Mercer County, ND"
1756,"McLean County, ND","McLean County, ND"
1757,"Morton County, ND","Morton County, ND"
1758,"Emmons County, ND","Emmons County, ND"
1759,"Stark County, ND","Stark County, ND"
1760,"McKenzie County, ND","McKenzie County, ND"
1761,"Adams County, ND","Adams County, ND"
1762,"Hettinger County, ND","Hettinger County, ND"
1763,"Ward County, ND","Ward County, ND"
1764,"McHenry County, ND","McHenry County, ND"
1765,"Renville County, ND","Renville County, ND"
1766,"Williams County, ND","Williams County, ND"
1767,"Stillwater County, MT","Stillwater County, MT"
1768,"Yellowstone County, MT","Yellowstone County, MT"
1769,"Carbon County, MT","Carbon County, MT"
1770,"Sweet Grass County, MT","Sweet Grass County, MT"
1771,"Park County, MT","Park County, MT"
1772,"Fergus County, MT","Fergus County, MT"
1773,"Meagher County, MT","Meagher County, MT"
1774,"Roosevelt County, MT","Roosevelt County, MT"
1775,"McCone County, MT","McCone County, MT"
1776,"Valley County, MT","Valley County, MT"
1777,"Dawson County, MT","Dawson County, MT"
1778,"Phillips County, MT","Phillips County, MT"
1779,"Richland County, MT","Richland County, MT"
1780,"Custer County, MT","Custer County, MT"
1781,"Rosebud County, MT","Rosebud County, MT"
1782,"Prairie County, MT","Prairie County, MT"
1783,"Powder River County, MT","Powder River County, MT"
1784,"Cascade County, MT","Cascade County, MT"
1785,"Teton County, MT","Teton County, MT"
1786,"Glacier County, MT","Glacier County, MT"
1787,"Pondera County, MT","Pondera County, MT"
1788,"Chouteau County, MT","Chouteau County, MT"
1789,"Judith Basin County, MT","Judith Basin County, MT"
1790,"Wheatland County, MT","Wheatland County, MT"
1791,"Toole County, MT","Toole County, MT"
1792,"Hill County, MT","Hill County, MT"
1793,"Lewis and Clark County, MT","Lewis and Clark County, MT"
1794,"Jefferson County, MT","Jefferson County, MT"
1795,"Broadwater County, MT","Broadwater County, MT"
1796,"Silver Bow County, MT","Silver Bow County, MT"
1797,"Madison County, MT","Madison County, MT"
1798,"Deer Lodge County, MT","Deer Lodge County, MT"
1799,"Powell County, MT","Powell County, MT"
1800,"Gallatin County, MT","Gallatin County, MT"
1801,"Beaverhead County, MT","Beaverhead County, MT"
1802,"Missoula County, MT","Missoula County, MT"
1803,"Mineral County, MT","Mineral County, MT"
1804,"Lake County, MT","Lake County, MT"
1805,"Ravalli County, MT","Ravalli County, MT"
1806,"Sanders County, MT","Sanders County, MT"
1807,"Granite County, MT","Granite County, MT"
1808,"Flathead County, MT","Flathead County, MT"
1809,"Lincoln County, MT","Lincoln County, MT"
1810,"Lake County, IL","Lake County, IL"
1811,"Cook County, IL","Cook County, IL"
1812,"McHenry County, IL","McHenry County, IL"
1813,"DuPage County, IL","DuPage County, IL"
1814,"Kane County, IL","Kane County, IL"
1815,"DeKalb County, IL","DeKalb County, IL"
1816,"Ogle County, IL","Ogle County, IL"
1817,"Will County, IL","Will County, IL"
1818,"Grundy County, IL","Grundy County, IL"
1819,"Livingston County, IL","Livingston County, IL"
1820,"La Salle County, IL","LaSalle County, IL"
1821,"Kendall County, IL","Kendall County, IL"
1822,"Lee County, IL","Lee County, IL"
1823,"Kankakee County, IL","Kankakee County, IL"
1824,"Iroquois County, IL","Iroquois County, IL"
1825,"Ford County, IL","Ford County, IL"
1826,"Vermilion County, IL","Vermilion County, IL"
1827,"Champaign County, IL","Champaign County, IL"
1828,"Jo Daviess County, IL","Jo Daviess County, IL"
1829,"Boone County, IL","Boone County, IL"
1830,"Stephenson County, IL","Stephenson County, IL"
1831,"Carroll County, IL","Carroll County, IL"
1832,"Whiteside County, IL","Whiteside County, IL"
1833,"Rock Island County, IL","Rock Island County, IL"
1834,"Mercer County, IL","Mercer County, IL"
1835,"Henry County, IL","Henry County, IL"
1836,"Bureau County, IL","Bureau County, IL"
1837,"Putnam County, IL","Putnam County, IL"
1838,"Marshall County, IL","Marshall County, IL"
1839,"Knox County, IL","Knox County, IL"
1840,"McDonough County, IL","McDonough County, IL"
1841,"Fulton County, IL","Fulton County, IL"
1842,"Warren County, IL","Warren County, IL"
1843,"Henderson County, IL","Henderson County, IL"
